Date,Close,AdjClose,RSI14
2022-12-13,58100.0000,49233.7148,60.8583
2022-12-14,59100.0000,50081.1094,65.0410
2022-12-15,58600.0000,49657.4102,61.5021
2022-12-16,57800.0000,48979.4922,56.2304
2022-12-19,58100.0000,49233.7148,57.6948
2022-12-20,57900.0000,49064.2344,56.3414
2022-12-21,58000.0000,49148.9727,56.8860
2022-12-22,58700.0000,49742.1484,60.5916
2022-12-23,57600.0000,48810.0156,52.8975
2022-12-26,58000.0000,49148.9727,55.1289
2022-12-27,58800.0000,49826.8906,59.2833
2022-12-28,55100.0000,48592.2422,50.1724
2022-12-29,53300.0000,47004.8398,41.3694
2023-01-02,51800.0000,45682.0000,35.7415
2023-01-03,52000.0000,45858.3828,36.9727
2023-01-04,54900.0000,48415.8672,51.4870
2023-01-05,57100.0000,50356.0273,59.1689
2023-01-06,57700.0000,50885.1602,60.9835
2023-01-09,59200.0000,52208.0000,65.1529
2023-01-10,59200.0000,52208.0000,65.1529
2023-01-11,58500.0000,51590.6758,61.5907
2023-01-12,58700.0000,51767.0547,62.2262
2023-01-13,60500.0000,53354.4570,67.4463
2023-01-16,62100.0000,54765.4883,71.2497
2023-01-17,61400.0000,54148.1641,67.5323
2023-01-18,60600.0000,53442.6484,63.4574
2023-01-19,61700.0000,54412.7305,66.4546
2023-01-20,61700.0000,54412.7305,66.4546
2023-01-25,62600.0000,55206.4336,68.8769
2023-01-26,62900.0000,55470.9961,69.6633
2023-01-27,63500.0000,56000.1367,71.2290
2023-01-30,63100.0000,55647.3789,68.6840
2023-01-31,62500.0000,55118.2422,64.9360
2023-02-01,62200.0000,54853.6758,63.0824
2023-02-02,62700.0000,55294.6250,64.8817
2023-02-03,63400.0000,55911.9414,67.2855
2023-02-06,61900.0000,54589.1094,58.1069
2023-02-07,62000.0000,54677.2969,58.5132
2023-02-08,64400.0000,56793.8359,66.8285
2023-02-09,63300.0000,55823.7578,60.8123
2023-02-10,62400.0000,55030.0508,56.3430
2023-02-13,61000.0000,53795.4023,50.1666
2023-02-14,61600.0000,54324.5391,52.5665
2023-02-15,60300.0000,53178.0781,47.2564
2023-02-16,61800.0000,54500.9180,53.1386
2023-02-17,61000.0000,53795.4023,49.9397
2023-02-20,61000.0000,53795.4023,49.9397
2023-02-21,61200.0000,53971.7852,50.7985
2023-02-22,59800.0000,52737.1328,44.9814
2023-02-23,60200.0000,53089.8945,46.8540
2023-02-24,60100.0000,53001.7031,46.4286
2023-02-27,60100.0000,53001.7031,46.4286
2023-02-28,62000.0000,54677.2969,55.3603
2023-03-02,61100.0000,53883.5938,51.0210
2023-03-03,60800.0000,53619.0273,49.6246
2023-03-06,60400.0000,53266.2695,47.7483
2023-03-07,59900.0000,52825.3242,45.4356
2023-03-08,60000.0000,52913.5117,45.9989
2023-03-09,60400.0000,53266.2695,48.2983
2023-03-10,58700.0000,51767.0547,40.4208
2023-03-13,60200.0000,53089.8945,48.4155
2023-03-14,56100.0000,49474.1328,34.7067
2023-03-15,54900.0000,48415.8672,31.8631
2023-03-16,53300.0000,47004.8398,28.5090
2023-03-17,53100.0000,46828.4609,28.1106
2023-03-20,53100.0000,46828.4609,28.1106
2023-03-21,53300.0000,47004.8398,29.2570
2023-03-22,54100.0000,47710.3516,33.8041
2023-03-23,54500.0000,48063.1094,36.0185
